"cruiseID","station","time","lat","lon","temp","sal","depth","ODO_molL","ODO_perc","turb","chla","sigma0"
"V2108","SV7","17-Aug-2021 13:13:59",75.77287,-83.2923,-0.110346476236979,32.3903560638428,16.25,363.441319783529,99.2805964152018,1.0224609375,6.4678955078125,26.0092786743635
"V2108","SV7","17-Aug-2021 13:14:00",75.77287,-83.2923,-0.125712076822917,32.3978207906087,16.75,361.970865885417,98.8437360127767,1.02567545572917,5.71454874674479,26.0159899507898
"V2108","SV7","17-Aug-2021 13:14:00",75.77287,-83.2923,-0.135498046875,32.4000091552734,17.25,359.423858642578,98.124267578125,1.142578125,5.27569580078125,26.0181921899514
"V2108","SV7","NaN",NA,NA,NA,NA,17.75,NA,NA,NA,NA,NA
"V2108","SV7","NaN",NA,NA,NA,NA,18.25,NA,NA,NA,NA,NA
"V2108","SV1","NaN",NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"V2108","SV1","15-Aug-2021 02:42:20",75.74915,-83.24245,-0.47821044921875,31.7943309783936,0.75,338.978582763672,91.3174102783203,5.92578125,3.1441650390625,25.5433293799983
"V2108","SV1","15-Aug-2021 02:43:15",75.74915,-83.24245,-0.448532104492188,32.0136215686798,1.25,348.83302116394,94.1909780502319,5.65423583984375,3.78031539916992,25.7193460332355
"V2108","SV1","15-Aug-2021 02:44:11",75.74915,-83.24245,-0.386337280273438,32.0566673278809,1.75,350.528160095215,94.8334465026855,5.01556396484375,6.68899536132812,25.7516511192212
"V2108","SV1","15-Aug-2021 02:44:12",75.74915,-83.24245,-0.323089599609375,32.0937347412109,2.25,350.443593343099,94.9949061075846,4.056396484375,6.177490234375,25.7790156075444
"V2108","SV1","15-Aug-2021 02:44:12",75.74915,-83.24245,-0.272043863932292,32.1506551106771,2.75,352.017557779948,95.5892181396484,3.14778645833333,6.28959147135417,25.8228507959925
"V2108","SV1","15-Aug-2021 02:44:13",75.74915,-83.24245,-0.225181579589844,32.1755828857422,3.25,352.816368103027,95.9419460296631,2.89605712890625,6.40301513671875,25.8409881003138
"V2108","SV1","15-Aug-2021 02:44:13",75.74915,-83.24245,-0.235809326171875,32.1949068705241,3.75,354.110158284505,96.2793146769206,2.57478841145833,5.41410319010417,25.8570393814973
"V2108","SV1","15-Aug-2021 02:44:13",75.74915,-83.24245,-0.296218872070312,32.2542428970337,4.25,356.639961242676,96.8515644073486,2.9532470703125,6.12232971191406,25.9074970799954
"V2108","SV1","15-Aug-2021 02:44:14",75.74915,-83.24245,-0.272300720214844,32.3187818527222,4.75,356.377639770508,96.8852691650391,2.7115478515625,7.505126953125,25.9585926410396
"V2108","SV1","15-Aug-2021 02:44:14",75.74915,-83.24245,-0.137430826822917,32.3199844360352,5.25,356.054361979167,97.1455001831055,2.640625,9.2406005859375,25.9537037052914
"V2108","SV1","15-Aug-2021 02:44:15",75.74915,-83.24245,-0.062591552734375,32.3191823959351,5.75,356.06169128418,97.3397903442383,2.79180908203125,8.73692321777344,25.949697480575
"V2108","SV1","15-Aug-2021 02:44:15",75.74915,-83.24245,-0.0804901123046875,32.3513622283936,6.25,360.850639343262,98.6242256164551,2.5753173828125,8.28582763671875,25.9764681552847
"V2108","SV1","15-Aug-2021 02:44:16",75.74915,-83.24245,-0.177581787109375,32.4085731506348,6.75,360.713063557943,98.3722229003906,2.32405598958333,7.75067138671875,26.0269679550033
"V2108","SV1","15-Aug-2021 02:44:16",75.74915,-83.24245,-0.221580505371094,32.428204536438,7.25,361.63712310791,98.5224838256836,1.46099853515625,6.62298583984375,26.0447404645001
